Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
"Rayitek Hi-Tech Film Company Ltd., Shenzhen (SHSE:688323)",SHSE:688323,Commodity Chemicals (Primary),Public Company,-, 5.89 ,-,-,-,-,-,-,-
Re:NewCell AB (publ) (OM:RENEW),OM:RENEW,Commodity Chemicals (Primary),Public Company,NM, 24.45 , 6.19 ,-,-, 26.9 ,-, 0.003 , 0.903 
Recticel SA/NV (ENXTBR:REC),ENXTBR:REC,Commodity Chemicals (Primary),Public Company,NM, 22.78 , 2.37 , (9.96)  , (1.81)  , 1.59 , 5.24 , 1.1 , 20.2 
"Red Avenue New Materials Group Co., Ltd. (SHSE:603650)",SHSE:603650,Commodity Chemicals (Primary),Public Company, 54.9 , 9.59 , 10.1 , 3.55 , 18.7 , 1.41 , 21.7 , 0.472 , 34.7 
Regenex Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Reo Plastics, Inc. (OTCPK:REOP)",OTCPK:REOP,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Responsive Industries Limited (BSE:505509),BSE:505509,Commodity Chemicals (Primary),Public Company, 96.6 , 2.7 , 4.02 , (15.4)  , 2.32 , 1.56 , 16.9 , 0.579 , 16.4 
Reunion Resources Co,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
RGT Berhad (KLSE:RGTBHD),KLSE:RGTBHD,Commodity Chemicals (Primary),Public Company, 22.8 , 0.134 , 2.61 , 129.7 , 19.6 , 5.65 , 19.1 , 0.663 , 5.05 
Rianlon Corporation (SZSE:300596),SZSE:300596,Commodity Chemicals (Primary),Public Company, 26.2 , 8.53 , 3.73 , 32.4 , 15.0 , 1.3 , 18.5 , 0.713 , 27.0 
Richard Pieris Exports PLC (COSE:REXP.N0000),COSE:REXP.N0000,Commodity Chemicals (Primary),Public Company, 6.73 , 2.42 , 1.69 , 6.18 , 30.2 , 3.44 , 23.5 , 1.22 , 16.5 
Riken Technos Corporation (TSE:4220),TSE:4220,Commodity Chemicals (Primary),Public Company, 11.5 , 7.19 , 0.691 , (2.3)  , 7.18 , 2.05 , 10.5 , 0.943 , 14.4 
Rimoni Industries Ltd. (TASE:RIMO),TASE:RIMO,Commodity Chemicals (Primary),Public Company, 13.0 , 27.44 , 3.62 , 3.57 , 26.2 , 1.37 , 30.9 , 0.79 , 19.0 
Rishiroop Limited (BSE:526492),BSE:526492,Commodity Chemicals (Primary),Public Company, 3.26 , 1.83 , 1.13 , (3.25)  , 40.6 , 7.13 , 12.0 , 0.662 ,-
Ritesh International Ltd (BSE:519097),BSE:519097,Commodity Chemicals (Primary),Public Company, 13.1 , 0.794 , 3.08 , 31.3 ,-,-, 5.37 , 2.44 , 11.9 
Riverdale Capital Ltd.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"ROCK PAINT Co., Ltd. (TSE:4621)",TSE:4621,Commodity Chemicals (Primary),Public Company, 10.7 , 9.74 , 0.395 , (1.44)  , 3.76 , 5.29 , 12.3 , 0.508 ,-
"Rongsheng Petrochemical Co., Ltd. (SZSE:002493)",SZSE:002493,Commodity Chemicals (Primary),Public Company, 18.3 , 3.41 , 4.18 , 17.5 , 26.6 , 0.751 , 21.8 , 0.506 , 63.7 
Rozachim AD (BUL:ROZH),BUL:ROZH,Commodity Chemicals (Primary),Public Company,NM,-, 0.397 ,-,-,-,-,-,-
Rubex International for Plastic and Acrylic Manufacturing (CASE:RUBX),CASE:RUBX,Commodity Chemicals (Primary),Public Company, 26.3 , 0.536 , 1.18 , 9.18 , 4.36 , 1.72 , 11.6 , 0.726 , 33.5 
Rubfila International Limited (BSE:500367),BSE:500367,Commodity Chemicals (Primary),Public Company, 15.4 , 1.77 , 2.69 , 14.6 , 19.0 , 2.79 , 15.2 , 1.39 ,-
Rupali Polyester Limited (KASE:RUPL),KASE:RUPL,Commodity Chemicals (Primary),Public Company, 3.23 , 0.297 , 0.423 , 1.43 , 14.2 , 0.924 , 12.2 , 0.926 , 55.0 
S. E. Power Limited (BSE:534598),BSE:534598,Commodity Chemicals (Primary),Public Company,NM, 0.137 , 2.88 , 15.2 , (51.1)  , 1.1 , (7.23)  , 0.27 , 87.6 
S.C. Promateris S.A. (BVB:PPL),BVB:PPL,Commodity Chemicals (Primary),Public Company, 41.3 , 1.42 , 1.36 , 44.3 , 4.97 , 1.36 , 10.6 , 0.879 , 28.1 
S.C. Romcarbon S.A. (BVB:ROCE),BVB:ROCE,Commodity Chemicals (Primary),Public Company, 153.4 , 0.07 , 0.412 , 2.05 , 0.27 , 1.13 , 8.09 , 0.885 , 33.6 
Safeskin Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Sahand Rubber Industries Co.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Sahara International Petrochemical Company (SASE:2310),SASE:2310,Commodity Chemicals (Primary),Public Company, 31.6 , 10.03 , 1.55 , 10.3 , 4.42 , 1.52 , 32.1 , 0.223 , 35.3 
Salvo Chemical Industry Limited (DSE:SALVOCHEM),DSE:SALVOCHEM,Commodity Chemicals (Primary),Public Company, 60.6 , 0.473 , 2.12 , 24.1 , 3.55 , 0.586 , 28.8 , 0.273 , 49.3 
"Samhwa Paints Industrial Co., Ltd. (KOSE:A000390)",KOSE:A000390,Commodity Chemicals (Primary),Public Company, 32.5 , 15.22 , 1.03 , 4.76 , 3.2 , 1.56 , 5.92 , 0.955 , 33.6 
Samson International PLC (COSE:SIL.N0000),COSE:SIL.N0000,Commodity Chemicals (Primary),Public Company, 7.44 , 0.926 , 0.799 , 20.0 , 11.3 , 1.61 , 7.36 , 1.34 , 30.6 
"SamYoung Chemical Co.,Ltd (KOSE:A003720)",KOSE:A003720,Commodity Chemicals (Primary),Public Company, 234.7 , 3.61 , 2.32 , 5.99 , 3.16 , 0.953 , 6.88 , 1.09 , 41.5 
"San Fang Chemical Industry Co., Ltd. (TWSE:1307)",TWSE:1307,Commodity Chemicals (Primary),Public Company, 28.6 , 1.11 , 1.15 , (4.25)  , 4.0 , 1.84 , 16.0 , 0.554 , 37.4 
SANGBO Corp. (KOSDAQ:A027580),KOSDAQ:A027580,Commodity Chemicals (Primary),Public Company, 24.7 , 2.52 , 2.8 , 1.8 , 12.6 , 1.04 , 9.53 , 1.21 , 56.7 
Sanginita Chemicals Limited (NSEI:SANGINITA),NSEI:SANGINITA,Commodity Chemicals (Primary),Public Company, 53.2 , 0.425 , 0.998 , (5.41)  , 1.96 , 2.16 , 2.58 , 2.22 , 42.4 
Sanifoam Sünger Sanayi ve Ticaret A.S. (IBSE:SANFM),IBSE:SANFM,Commodity Chemicals (Primary),Public Company, 21.2 , 2.19 , 6.12 , 22.6 , 34.6 , 1.05 , 15.5 , 0.975 , 70.9 
Sansuy S.A. (BOVESPA:SNSY5),BOVESPA:SNSY5,Commodity Chemicals (Primary),Public Company,NM, 1.62 ,NM, 13.7 ,NM, 0.64 , (3.53)  , 1.31 ,NM
Sanwil Holding Spólka Akcyjna (WSE:SNW),WSE:SNW,Commodity Chemicals (Primary),Public Company, 4.72 , 0.942 , 0.857 , 15.7 , 20.0 , 3.71 , 18.0 , 0.776 , 7.23 
Sasa Polyester Sanayi A.S. (IBSE:SASA),IBSE:SASA,Commodity Chemicals (Primary),Public Company, 102.6 , 4.97 , 12.0 , 58.0 , 12.5 , 0.654 , 23.8 , 0.544 , 67.2 
Saudi Basic Industries Corporation (SASE:2010),SASE:2010,Commodity Chemicals (Primary),Public Company, 61.4 , 43.06 , 2.14 , (7.16)  , 4.09 , 2.26 , 18.4 , 0.392 , 19.1 
Saudi Industrial Investment Group (SASE:2250),SASE:2250,Commodity Chemicals (Primary),Public Company, 28.4 , 12.74 , 2.41 , (5.45)  , 7.03 , 2.25 , 31.1 , 0.294 , 13.6 
Saudi Kayan Petrochemical Company (SASE:2350),SASE:2350,Commodity Chemicals (Primary),Public Company, 116.7 , 6.25 , 1.8 , (4.3)  , 1.55 , 1.96 , 34.3 , 0.233 , 54.6 
Savita Oil Technologies Limited (BSE:524667),BSE:524667,Commodity Chemicals (Primary),Public Company, 12.1 , 23.46 , 1.99 , (0.301)  ,-,-, 12.3 , 1.43 , 0.151 
SciDev Limited (ASX:SDV),ASX:SDV,Commodity Chemicals (Primary),Public Company,NM, 0.856 , 5.26 , 148.7 , (1.49)  , 2.27 , (2.61)  , 1.09 , 3.0 
Scientex Berhad (KLSE:SCIENTX),KLSE:SCIENTX,Commodity Chemicals (Primary),Public Company, 15.7 , 1.37 , 2.42 , 10.2 , 16.4 , 1.15 , 20.2 , 0.808 , 27.6 
SECOS Group Limited (ASX:SES),ASX:SES,Commodity Chemicals (Primary),Public Company,NM, 0.262 , 5.22 , 1.6 , (0.104)  , 6.62 , 1.45 , 1.39 , 14.4 
"Sekisui Kasei Co., Ltd. (TSE:4228)",TSE:4228,Commodity Chemicals (Primary),Public Company, 23.9 , 7.25 , 0.383 , 1.97 , 0.45 , 1.45 , 7.13 , 0.773 , 34.9 
Selena FM S.A. (WSE:SEL),WSE:SEL,Commodity Chemicals (Primary),Public Company, 6.19 , 8.41 , 1.01 , 6.35 , 17.7 , 1.56 , 10.9 , 1.56 , 13.6 
Selic Corp Public Company Limited (SET:SELIC),SET:SELIC,Commodity Chemicals (Primary),Public Company, 14.6 , 0.141 , 2.57 , 29.1 , 19.2 , 1.83 , 14.1 , 0.783 , 53.1 
"Sewoo Global Co., Ltd (KOSE:A013000)",KOSE:A013000,Commodity Chemicals (Primary),Public Company,NM,-, 1.78 , (1.04)  , 1.94 , 22.7 , 7.2 , 0.618 , 0.866 
"SH Energy & Chemical Co., Ltd. (KOSE:A002360)",KOSE:A002360,Commodity Chemicals (Primary),Public Company,NM, 1.44 , 1.48 , (18.6)  , (5.0)  , 10.2 , (2.11)  , 0.777 , 11.2 
"Shaanxi Beiyuan Chemical Industry Group Co., Ltd. (SHSE:601568)",SHSE:601568,Commodity Chemicals (Primary),Public Company, 16.1 , 1.8 , 2.4 ,-, 17.8 , 2.47 , 26.6 , 0.727 , 2.34 
Shahin Plastic Manufacturing Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Shandong Dawn Polymer Co.,Ltd. (SZSE:002838)",SZSE:002838,Commodity Chemicals (Primary),Public Company, 8.61 , 3.73 , 3.65 , 69.9 , 53.0 , 3.65 , 19.9 , 1.81 , 13.7 
"Shandong Dongyue Organosilicon Materials Co., Ltd. (SZSE:300821)",SZSE:300821,Commodity Chemicals (Primary),Public Company, 44.0 , 2.66 , 3.65 ,-, 8.37 , 7.02 , 17.2 , 0.716 ,-
"Shandong Fengyuan Chemical Co.,Ltd. (SZSE:002805)",SZSE:002805,Commodity Chemicals (Primary),Public Company,NM, 4.57 , 5.72 , 9.1 , (3.61)  , 0.996 , 2.65 , 0.351 , 23.7 
"Shandong Fiberglass Group Co., Ltd (SHSE:605006)",SHSE:605006,Commodity Chemicals (Primary),Public Company, 18.1 , 2.45 , 3.04 ,-, 17.7 , 0.748 , 33.5 , 0.463 , 55.0 
"Shandong Haihua Co.,Ltd (SZSE:000822)",SZSE:000822,Commodity Chemicals (Primary),Public Company,NM, 1.55 , 2.13 , (6.96)  , (5.19)  , 1.71 , 2.68 , 0.836 ,-
"Shandong Head Co.,Ltd. (SZSE:002810)",SZSE:002810,Commodity Chemicals (Primary),Public Company, 55.8 , 10.45 , 13.3 , 26.0 , 26.1 , 1.79 , 31.8 , 0.825 , 13.1 
"Shandong Rike Chemical Co.,LTD. (SZSE:300214)",SZSE:300214,Commodity Chemicals (Primary),Public Company, 15.4 , 1.45 , 1.51 , 7.59 , 10.2 , 4.54 , 14.2 , 1.05 , 0.036 
Shandong Shida Shenghua Chemical Group Company Limited (SHSE:603026),SHSE:603026,Commodity Chemicals (Primary),Public Company, 47.9 , 24.85 , 10.5 , 2.56 , 22.8 , 2.31 , 15.2 , 1.37 , 11.0 
"Shandong Tongda Island New Materials Co.,Ltd. (SZSE:300321)",SZSE:300321,Commodity Chemicals (Primary),Public Company, 83.3 , 3.59 , 2.39 , (1.27)  , 2.84 , 3.93 , 12.1 , 0.544 ,-
"Shandong Yanggu Huatai Chemical Co., Ltd. (SZSE:300121)",SZSE:300121,Commodity Chemicals (Primary),Public Company, 20.5 , 2.63 , 2.66 , 5.57 , 12.7 , 2.01 , 17.0 , 0.876 , 11.7 
"Shanghai Chlor-Alkali Chemical Co., Ltd. (SHSE:600618)",SHSE:600618,Commodity Chemicals (Primary),Public Company, 11.7 , 1.82 , 1.84 , (10.2)  , 16.4 , 2.79 , 15.5 , 0.818 , 0.265 
"Shanghai Hajime Advanced Material Technology Co., Ltd. (SZSE:301000)",SZSE:301000,Commodity Chemicals (Primary),Public Company, 28.2 , 15.34 , 10.9 , 28.5 , 44.8 , 2.05 , 26.0 , 1.31 , 9.18 
"Shanghai HIUV New Materials Co.,Ltd (SHSE:688680)",SHSE:688680,Commodity Chemicals (Primary),Public Company, 44.6 , 39.08 , 7.24 , 40.5 , 20.6 , 3.71 , 18.0 , 1.15 , 36.9 
"Shanghai Hongda New Material Co., Ltd. (SZSE:002211)",SZSE:002211,Commodity Chemicals (Primary),Public Company, 45.0 , 1.1 , 3.03 , (1.5)  , 6.98 , 2.19 , 8.7 , 0.832 , 8.78 
Shanghai Huayi Group Corporation Limited (SHSE:600623),SHSE:600623,Commodity Chemicals (Primary),Public Company, 15.8 , 1.9 , 1.01 , (10.4)  , 6.15 , 1.06 , 6.7 , 0.597 , 25.0 
"Shanghai Huide Science & Technology Co.,Ltd (SHSE:603192)",SHSE:603192,Commodity Chemicals (Primary),Public Company, 18.2 , 4.66 , 1.81 , 6.98 , 10.4 , 2.04 , 9.6 , 0.805 , 3.37 
"Shanghai Kangda New Materials Group Co., Ltd. (SZSE:002669)",SZSE:002669,Commodity Chemicals (Primary),Public Company, 13.8 , 2.54 , 1.31 , 55.2 , 9.87 , 2.32 , 15.3 , 0.658 , 18.1 
"Shanghai Pret Composites Co., Ltd. (SZSE:002324)",SZSE:002324,Commodity Chemicals (Primary),Public Company, 32.2 , 2.78 , 4.87 , 13.1 , 16.3 , 1.92 , 12.2 , 1.07 , 26.4 
"Shanghai Tianyang Hot Melt Adhesives Co., Ltd. (SHSE:603330)",SHSE:603330,Commodity Chemicals (Primary),Public Company, 66.0 , 5.86 , 4.73 , 17.7 , 7.81 , 1.91 , 17.7 , 0.528 , 40.6 
"Shanghai Yahong Moulding Co., Ltd. (SHSE:603159)",SHSE:603159,Commodity Chemicals (Primary),Public Company, 42.3 , 3.12 , 4.64 , 3.66 , 11.4 , 2.74 , 11.6 , 1.01 ,-
"Shanxi Huhua Group Co., Ltd. (SZSE:003002)",SZSE:003002,Commodity Chemicals (Primary),Public Company, 23.1 , 2.65 , 2.51 ,-,-, 4.39 , 22.8 , 0.637 ,-
"Shanxi Road & Bridge Co.,Ltd. (SZSE:000755)",SZSE:000755,Commodity Chemicals (Primary),Public Company, 14.3 , 0.709 , 1.32 , (38.6)  , 9.72 , 0.224 , 84.5 , 0.076 , 83.3 
"Shanxi Tond Chemical Co., Ltd. (SZSE:002360)",SZSE:002360,Commodity Chemicals (Primary),Public Company, 16.9 , 1.58 , 2.25 , 12.7 , 13.6 , 3.93 , 30.1 , 0.596 , 13.2 
"Shanxi Yongdong Chemistry Industry Co., Ltd. (SZSE:002753)",SZSE:002753,Commodity Chemicals (Primary),Public Company, 13.0 , 1.83 , 1.6 , 8.1 , 14.0 , 5.66 , 13.6 , 0.97 , 14.4 
"Shenma Industrial Co., Ltd. (SHSE:600810)",SHSE:600810,Commodity Chemicals (Primary),Public Company, 12.7 , 2.42 , 1.8 , (3.09)  , 12.5 , 1.14 , 14.2 , 0.44 , 65.0 
"Shenyang Chemical Industry Co., Ltd. (SZSE:000698)",SZSE:000698,Commodity Chemicals (Primary),Public Company, 6.68 , 1.39 , 1.25 , 0.68 , 20.6 , 1.01 , 15.1 , 0.991 , 50.1 
"Shenzhen Cotran New Material Co.,Ltd. (SZSE:300731)",SZSE:300731,Commodity Chemicals (Primary),Public Company, 123.2 , 6.4 , 6.23 , 14.0 , 5.59 , 2.78 , 13.1 , 0.364 , 10.4 
"Shenzhen Dynanonic Co., Ltd (SZSE:300769)",SZSE:300769,Commodity Chemicals (Primary),Public Company,NM, 38.98 , 7.73 ,-, 0.319 , 1.29 , 2.2 , 0.343 , 13.2 
Shenzhen King Explorer Science and Technology Corporation (SZSE:002917),SZSE:002917,Commodity Chemicals (Primary),Public Company, 32.2 , 1.79 , 3.02 , 19.0 , 9.88 , 2.63 , 13.4 , 0.609 , 16.3 
"Shenzhen Senior Technology Material Co., Ltd. (SZSE:300568)",SZSE:300568,Commodity Chemicals (Primary),Public Company, 120.3 , 9.52 , 6.77 , 30.2 , 4.93 , 1.55 , 31.1 , 0.175 , 35.2 
"Shenzhen WOTE Advanced Materials Co., Ltd (SZSE:002886)",SZSE:002886,Commodity Chemicals (Primary),Public Company, 36.9 , 2.94 , 2.82 , 17.2 , 9.34 , 2.08 , 9.03 , 0.782 , 16.2 
Sherwood Corporation (Thailand) Public Company Limited (SET:SWC),SET:SWC,Commodity Chemicals (Primary),Public Company, 33.7 , 0.244 , 2.74 , (0.375)  , 11.5 , 1.96 , 10.2 , 1.07 , 19.1 
"Shih-Kuen Plastics Co., Ltd. (TPEX:4305)",TPEX:4305,Commodity Chemicals (Primary),Public Company, 16.2 , 1.58 , 1.72 , (5.29)  , 10.6 , 5.1 , 17.4 , 0.855 , 0.206 
"Shin Foong Specialty and Applied Materials Co., Ltd. (TWSE:6582)",TWSE:6582,Commodity Chemicals (Primary),Public Company, 11.4 , 13.95 , 5.17 , 30.0 , 56.4 , 3.0 , 53.1 , 1.05 , 0.105 
"Shin-Etsu Polymer Co.,Ltd. (TSE:7970)",TSE:7970,Commodity Chemicals (Primary),Public Company, 18.5 , 12.61 , 0.964 , (1.04)  , 5.3 , 4.19 , 14.0 , 0.72 ,-
Shinkong Synthetic Fibers Corporation (TWSE:1409),TWSE:1409,Commodity Chemicals (Primary),Public Company, 26.4 , 1.03 , 1.12 , (3.54)  , 5.52 , 0.999 , 16.5 , 0.186 , 51.5 
"Shinto Paint Company, Limited (TSE:4615)",TSE:4615,Commodity Chemicals (Primary),Public Company, 8.99 , 2.4 , 0.354 , (2.8)  , 4.14 , 1.54 , 3.51 , 0.584 , 15.0 
Shinwha Intertek Corp. (KOSDAQ:A056700),KOSDAQ:A056700,Commodity Chemicals (Primary),Public Company, 28.3 , 4.74 , 1.19 , 15.2 , 4.25 , 0.926 , 7.74 , 1.42 , 27.7 
Shiraz Petrochemical Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Shish Industries Limited (BSE:540693),BSE:540693,Commodity Chemicals (Primary),Public Company, 49.8 , 1.21 , 5.7 , 46.0 , 12.6 , 2.26 , 7.89 , 1.91 , 8.15 
"Showa Chemical Industry Co., Ltd. (TSE:4990)",TSE:4990,Commodity Chemicals (Primary),Public Company, 17.3 , 5.85 , 0.877 , (1.83)  , 5.25 , 1.43 , 8.65 , 0.638 , 42.9 
Shree Hari Chemicals Export Limited (BSE:524336),BSE:524336,Commodity Chemicals (Primary),Public Company, 38.2 , 1.34 , 0.886 , 0.92 , 2.32 , 1.98 , 3.7 , 0.965 , 0.135 
Shuang-Bang Industrial Corp. (TPEX:6506),TPEX:6506,Commodity Chemicals (Primary),Public Company, 22.2 , 0.832 , 1.14 , (10.2)  , 5.18 , 1.46 , 9.22 , 0.667 , 37.7 
Siam Pan Group Public Company Limited (SET:SPG),SET:SPG,Commodity Chemicals (Primary),Public Company, 14.3 , 0.786 , 1.18 , (5.42)  , 8.35 , 8.63 , 22.3 , 0.463 , 1.4 
Sichuan Dowell Science and Technology Inc. (SZSE:300535),SZSE:300535,Commodity Chemicals (Primary),Public Company, 18.7 , 2.84 , 1.7 , 17.5 , 8.47 , 2.42 , 20.0 , 0.478 , 5.38 
"Sichuan Em Technology Co., Ltd. (SHSE:601208)",SHSE:601208,Commodity Chemicals (Primary),Public Company, 38.8 , 3.16 , 3.58 , 9.68 , 9.48 , 1.47 , 17.7 , 0.507 , 26.9 
Sichuan Hebang Biotechnology Corporation Limited (SHSE:603077),SHSE:603077,Commodity Chemicals (Primary),Public Company, 51.7 , 0.402 , 1.44 , 5.9 , 2.62 , 1.04 , 25.1 , 0.36 , 15.9 
"Sichuan Xinjinlu Group Co., Ltd. (SZSE:000510)",SZSE:000510,Commodity Chemicals (Primary),Public Company, 26.0 , 0.967 , 2.5 , 11.4 , 10.0 , 1.05 , 10.1 , 1.29 , 16.3 
"Sichuan Yahua Industrial Group Co., Ltd. (SZSE:002497)",SZSE:002497,Commodity Chemicals (Primary),Public Company, 59.0 , 4.74 , 4.78 , 12.6 , 9.5 , 3.29 , 19.4 , 0.534 , 8.46 
Sidi Kerir Petrochemicals Co. (CASE:SKPC),CASE:SKPC,Commodity Chemicals (Primary),Public Company, 31.0 , 0.952 , 1.71 , (9.2)  , 6.14 , 1.31 , 7.13 , 0.703 ,-
Signatur Fastigheter AB (publ) (OM:SIGN B),OM:SIGN B,Commodity Chemicals (Primary),Public Company, 7.98 , 2.87 , 1.03 , 157.7 , 13.4 , 0.218 , 33.9 , 0.047 , 58.2 
SIMONA Aktiengesellschaft (DB:SIM),DB:SIM,Commodity Chemicals (Primary),Public Company, 18.3 ," 1,116.61 ", 2.06 , (0.391)  , 11.0 , 4.46 , 13.1 , 0.887 , 6.2 
Sina Chemical Industries Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Sincerity Applied Materials Holdings Corp. (OTCPK:SINC),OTCPK:SINC,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-,-,-
"Sinofibers Technology Co.,Ltd. (SZSE:300777)",SZSE:300777,Commodity Chemicals (Primary),Public Company, 78.2 , 9.59 , 15.1 ,-, 21.3 , 9.68 , 78.7 , 0.304 ,-
"Sinoma Science & Technology Co., Ltd. (SZSE:002080)",SZSE:002080,Commodity Chemicals (Primary),Public Company, 14.4 , 4.27 , 2.51 , 24.3 , 16.7 , 1.26 , 21.0 , 0.594 , 42.1 
Sinopec Shanghai Petrochemical Company Limited (SEHK:338),SEHK:338,Commodity Chemicals (Primary),Public Company, 5.93 , 0.338 , 0.585 , (6.77)  , 10.2 , 1.25 , 4.78 , 1.65 , 13.5 
Sinopec Yizheng Chemical Fibre Company Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Sintex Plastics Technology Limited (NSEI:SPTL),NSEI:SPTL,Commodity Chemicals (Primary),Public Company,NM, 0.126 , 0.404 ,-,-,-, (1.94)  , 0.125 , 67.7 
Sitara Chemical Industries Limited (KASE:SITC),KASE:SITC,Commodity Chemicals (Primary),Public Company, 7.98 , 3.19 , 0.51 , 3.98 , 6.57 , 0.895 , 23.0 , 0.443 , 32.5 
Sitara Peroxide Limited (KASE:SPL),KASE:SPL,Commodity Chemicals (Primary),Public Company, 7.9 , 0.25 , 0.75 , 18.9 , 9.96 , 2.07 , 22.2 , 0.471 , 20.2 
"SK Chemicals Co.,Ltd. (KOSE:A285130)",KOSE:A285130,Commodity Chemicals (Primary),Public Company, 141.9 , 320.29 , 1.82 ,-, 3.45 , 2.69 , 19.7 , 0.571 , 42.5 
"SKC Co., Ltd. (KOSE:A011790)",KOSE:A011790,Commodity Chemicals (Primary),Public Company,NM, 172.28 , 2.85 , 1.78 , 2.63 , 0.778 , 15.5 , 0.576 , 57.4 
"SKSHU Paint Co.,Ltd. (SHSE:603737)",SHSE:603737,Commodity Chemicals (Primary),Public Company, 98.2 , 35.13 , 25.2 , 51.3 , 30.9 , 1.03 , 8.43 , 1.11 , 41.3 
SKW Trostberg AG,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Snowsky Salt Industry Group Co., Ltd. (SHSE:600929)",SHSE:600929,Commodity Chemicals (Primary),Public Company, 41.7 , 1.34 , 2.14 , 0.885 , 5.84 , 1.46 , 17.9 , 0.53 , 24.3 
Société Chimique ALKIMIA S.A. (BVMT:ALKIM),BVMT:ALKIM,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-, 0.778 , 129.5 
Société Nationale d'Electrolyse et de Pétrochimie S.A. (CBSE:SNP),CBSE:SNP,Commodity Chemicals (Primary),Public Company, 21.7 , 109.23 , 2.59 , 1.55 , 12.7 , 1.73 , 18.2 , 0.673 , 40.1 
Sodas Sodyum Sanayii A.S. (IBSE:SODSN),IBSE:SODSN,Commodity Chemicals (Primary),Public Company, 32.9 , 3.43 , 10.7 , 22.6 , 32.2 , 2.91 , 24.3 , 0.962 , 1.01 
"Soken Chemical & Engineering Co., Ltd. (JASDAQ:4972)",JASDAQ:4972,Commodity Chemicals (Primary),Public Company, 6.01 , 24.29 , 0.64 , 1.58 , 11.2 , 2.05 , 16.3 , 0.832 , 7.46 
Solar Industries India Limited (BSE:532725),BSE:532725,Commodity Chemicals (Primary),Public Company, 51.9 , 28.76 , 9.08 , 9.5 , 18.7 , 1.5 , 20.5 , 0.905 , 28.2 
Solvac S.A. (ENXTBR:SOLV),ENXTBR:SOLV,Commodity Chemicals (Primary),Public Company,NM, 194.61 , 1.06 ,-, (11.1)  , 0.721 ,-,-, 7.58 
SOMAR Corporation (TSE:8152),TSE:8152,Commodity Chemicals (Primary),Public Company, 12.9 , 22.15 , 0.278 , (4.89)  , 2.18 , 3.73 , 3.65 , 0.967 , 21.4 
South Basic Chemicals Joint Stock Company (HOSE:CSV),HOSE:CSV,Commodity Chemicals (Primary),Public Company, 8.81 , 1.75 , 1.31 , (4.7)  , 16.7 , 3.81 , 19.6 , 1.04 , 11.1 
"South Huiton Co., Ltd. (SZSE:000920)",SZSE:000920,Commodity Chemicals (Primary),Public Company, 26.4 , 1.54 , 2.56 , 10.6 , 10.2 , 1.93 , 14.3 , 0.533 , 27.8 
South Peninsular Industries Bhd,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Southern Acids (M) Berhad (KLSE:SAB),KLSE:SAB,Commodity Chemicals (Primary),Public Company, 13.8 , 1.22 , 0.797 , (1.15)  , 7.03 , 6.11 , 11.0 , 0.967 , 1.32 
SP Group A/S (CPSE:SPG),CPSE:SPG,Commodity Chemicals (Primary),Public Company, 26.9 , 78.3 , 4.35 , 5.85 , 19.4 , 1.27 , 14.8 , 1.01 , 43.8 
Spartech Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Spolytech Co., Ltd. (KOSDAQ:A050760)",KOSDAQ:A050760,Commodity Chemicals (Primary),Public Company, 10.9 , 6.11 , 1.23 , 4.07 , 11.7 , 1.31 , 13.3 , 1.16 , 40.9 
"Sports Source Inc.,",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Sree Rayalaseema Hi-Strength Hypo Limited (BSE:532842),BSE:532842,Commodity Chemicals (Primary),Public Company, 9.02 , 5.56 , 1.47 , 43.8 ,-,-, 16.5 , 1.51 , 15.5 
Sreechem Resins Limited (BSE:514248),BSE:514248,Commodity Chemicals (Primary),Public Company, 11.2 , 0.512 , 2.08 , 2.37 ,-,-, 5.97 , 2.29 , 38.2 
